Moisture Level,Raw ADC,Time in s,Time of Day,Date
NEW TEST
0.0,0,230,12:38:18,30/04
0.0,0,231,12:38:19,30/04
0.34,11,232,12:38:20,30/04
0.25,8,233,12:38:21,30/04
0.0,0,234,12:38:22,30/04
0.0,0,235,12:38:23,30/04
0.0,0,236,12:38:24,30/04
0.0,0,237,12:38:25,30/04
0.0,0,238,12:38:26,30/04
0.43,14,239,12:38:27,30/04
0.09,3,240,12:38:28,30/04
0.0,0,241,12:38:29,30/04
0.0,0,242,12:38:30,30/04
0.0,0,243,12:38:31,30/04
0.0,0,244,12:38:32,30/04
0.0,0,245,12:38:33,30/04
0.19,6,246,12:38:34,30/04
0.37,12,247,12:38:35,30/04
0.0,0,248,12:38:36,30/04
0.0,0,249,12:38:37,30/04
0.0,0,250,12:38:38,30/04
0.0,0,251,12:38:39,30/04
0.0,0,252,12:38:40,30/04
0.34,11,253,12:38:41,30/04
0.15,5,254,12:38:42,30/04
0.0,0,255,12:38:43,30/04
0.0,0,256,12:38:44,30/04
0.0,0,257,12:38:45,30/04
0.0,0,258,12:38:46,30/04
0.28,9,259,12:38:47,30/04
0.19,6,260,12:38:48,30/04
0.0,0,261,12:38:49,30/04
0.0,0,262,12:38:50,30/04
0.0,0,263,12:38:51,30/04
0.0,0,264,12:38:52,30/04
0.0,0,265,12:38:53,30/04
0.34,11,266,12:38:54,30/04
0.0,0,267,12:38:55,30/04
0.0,0,268,12:38:56,30/04
0.0,0,269,12:38:57,30/04
0.0,0,270,12:38:58,30/04
0.28,9,271,12:38:59,30/04
0.12,4,272,12:39:00,30/04
0.0,0,273,12:39:01,30/04
0.0,0,274,12:39:02,30/04
0.0,0,275,12:39:03,30/04
0.0,0,276,12:39:04,30/04
0.0,0,277,12:39:05,30/04
0.0,0,278,12:39:06,30/04
0.4,13,279,12:39:07,30/04
0.25,8,280,12:39:08,30/04
0.0,0,281,12:39:09,30/04
0.0,0,282,12:39:10,30/04
0.0,0,283,12:39:11,30/04
0.0,0,284,12:39:12,30/04
0.0,0,285,12:39:13,30/04
0.28,9,286,12:39:15,30/04
0.19,6,287,12:39:16,30/04
0.0,0,288,12:39:17,30/04
0.0,0,289,12:39:18,30/04
0.0,0,290,12:39:19,30/04
0.0,0,291,12:39:20,30/04
0.31,10,292,12:39:21,30/04
0.25,8,293,12:39:22,30/04
0.0,0,294,12:39:23,30/04
0.0,0,295,12:39:24,30/04
0.0,0,296,12:39:25,30/04
0.0,0,297,12:39:26,30/04
0.0,0,298,12:39:27,30/04
0.31,10,299,12:39:28,30/04
0.15,5,300,12:39:29,30/04
0.0,0,301,12:39:30,30/04
0.0,0,302,12:39:31,30/04
0.0,0,303,12:39:32,30/04
0.0,0,304,12:39:33,30/04
0.0,0,305,12:39:34,30/04
0.0,0,306,12:39:35,30/04
0.34,11,307,12:39:36,30/04
0.06,2,308,12:39:37,30/04
0.0,0,309,12:39:38,30/04
0.0,0,310,12:39:39,30/04
0.0,0,311,12:39:40,30/04
0.0,0,312,12:39:41,30/04
0.0,0,313,12:39:42,30/04
0.0,0,314,12:39:43,30/04
0.34,11,315,12:39:44,30/04
0.15,5,316,12:39:45,30/04
0.0,0,317,12:39:46,30/04
0.0,0,318,12:39:47,30/04
0.0,0,319,12:39:48,30/04
